dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
energy,power_kw_eps0.5,uniform,0.5,8,4,16.0,1,0,0.0,100.9820016628366,2.019640033256732,0.9582051232341932,0.9944977073780742,7.827900514103098,35985
energy,power_kw_eps0.5,uniform,0.5,8,6,,1,0,0.0,100.9820016628366,2.019640033256732,0.9582051232341932,0.9944977073780742,7.827900514103098,35985
energy,power_kw_eps0.5,uniform,0.5,8,6,8.0,1,0,0.0,102.58761984358794,2.051752396871759,0.965285069339673,0.9944977073780742,7.827900514103098,35985
energy,power_kw_eps0.5,uniform,0.5,8,6,16.0,1,0,0.0,100.9820016628366,2.019640033256732,0.9582051232341932,0.9944977073780742,7.827900514103098,35985
energy,power_kw_eps0.5,uniform,0.5,8,1,,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,1,4.0,1,2,0.0,197.4393496140933,3.9487869922818657,0.7264396650442033,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,1,8.0,1,2,0.0,102.65525245626465,2.053105049125293,0.965285069339673,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,1,16.0,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,2,,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,2,4.0,1,2,0.0,197.4393496140933,3.9487869922818657,0.7264396650442033,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,2,8.0,1,2,0.0,102.65525245626465,2.053105049125293,0.965285069339673,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,2,16.0,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
energy,power_kw_eps0.5,uniform,0.5,8,3,,1,2,0.0,101.04519348921998,2.0209038697843997,0.9582051232341932,0.9982705235850372,7.857597143574437,35849
