dataset,sensor,clamp_mode,subscription_level,scope,strategy,P,epsilon,w,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,current,static,2,energy/building01,n_weighted,6,2.0,8,0.1883823863873699,0.0197046411648092,18.838238638737,1.9704641164809236,0.3730487843750288,0.2303784495277912,0.5091893573104872,0.0028718771882093,0.0719692712066308,0.0001361360895607,6.426711341080669,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,4.0,8,0.1319111698553728,0.0033722277038364,13.191116985537288,0.3372227703836464,0.5977992742820376,0.1435183239941223,0.525306205081486,0.0071506577250241,0.07965640706646,0.0005713220709789,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,n_weighted,6,8.0,8,0.0921679003697178,0.0036644853081365,9.216790036971783,0.3664485308136515,0.5556797039677814,0.2799926096311541,0.5464874987346898,0.0078875994745969,0.0920293098833894,0.0006401712332449,6.609474643182509,0.0,6
energy,current,static,2,energy/building01,p_gated_ba,6,0.1,8,0.3968369787547685,0.028602692178512,39.68369787547686,2.8602692178512084,0.0488043088322139,0.0433397178179593,0.187673669000778,0.0058279842801212,0.0055228815166765,0.000280794284267,5.94976103145493,0.0,12
energy,current,static,2,energy/building01,p_gated_ba,6,0.25,8,0.3325409004644121,0.040063842893007,33.25409004644121,4.0063842893007084,0.1348444913224924,0.1459603044724867,0.1884702308176799,0.0062245375636695,0.0110114656095967,0.0005441970720586,5.94976103145493,0.0,12
energy,current,static,2,energy/building01,p_gated_ba,6,0.5,8,0.270127288974419,0.0236826217311432,27.012728897441903,2.3682621731143283,0.1490479633884874,0.0888776168401309,0.1858026749657293,0.0064097872791388,0.0182160527013008,0.0005995898385093,5.94976103145493,0.0,12
energy,current,static,2,energy/building01,p_gated_ba,6,1.0,8,0.2158756582194341,0.0196377451308786,21.58756582194341,1.9637745130878663,0.1002427997938829,0.0452160349623958,0.1834699868407733,0.0081049418447559,0.0290811889239135,0.0009955762683778,6.609474643182509,0.0,12
energy,current,static,2,energy/building01,p_gated_ba,6,2.0,8,0.1640254146922315,0.0049844325282583,16.402541469223156,0.498443252825837,0.2274339991566237,0.125788459077359,0.1770404949798081,0.0057279467479082,0.0448686402919417,0.000478004235973,5.94976103145493,0.0,12
energy,current,static,2,energy/building01,p_gated_ba,6,4.0,8,0.110165656172312,0.005087966310497,11.0165656172312,0.5087966310497081,0.2146697062154033,0.1328375053839457,0.1621466414730836,0.0048138676085713,0.0647300077275185,0.0009439916653006,5.94976103145493,0.0,12
energy,current,static,2,energy/building01,p_gated_ba,6,8.0,8,0.0695515104666694,0.0019764239966868,6.955151046666944,0.197642399668683,0.2647130278603199,0.1372419258871194,0.138953725315846,0.0021082666725118,0.0895299951302998,0.0013977234785333,5.94976103145493,0.0,12
