dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1447251399433975,0.2540905331094442,12.70452665547221,0.0012875231236039,0.5512938614856377,0.0795372891605612,7.871210216000223,7.86330011445161,7.236256997169875,16074,35823,0,77,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1429590987725391,0.2540905331094442,12.70452665547221,0.0030224783733791,0.5574909974039025,0.0793303645958745,7.871210216000223,7.86330011445161,7.147954938626956,15852,35823,1,1077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1382551070144109,0.2540905331094442,12.70452665547221,0.1615622960039603,0.5529129330318511,0.0794169427196892,7.871210216000223,7.86330011445161,6.912755350720548,16016,35823,2,2077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1474720785968161,0.2540905331094442,12.70452665547221,0.0044398425310641,0.5534991485916869,0.0793474360267531,7.871210216000223,7.86330011445161,7.373603929840807,15995,35823,3,3077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1374005387752081,0.2540905331094442,12.70452665547221,0.035051394394409,0.5575189124305614,0.0794123882854355,7.871210216000223,7.86330011445161,6.870026938760407,15851,35823,4,4077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1393397464281054,0.2540905331094442,12.70452665547221,0.0262789922291222,0.5516009267788851,0.0792464522797265,7.871210216000223,7.86330011445161,6.966987321405273,16063,35823,5,5077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1606265040760541,0.3811357996641663,19.05678998320831,0.2255930309878764,0.5333444993439969,0.0746826613812115,7.871210216000223,7.86330011445161,8.031325203802709,16717,35823,0,77,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1602948921384204,0.3811357996641663,19.05678998320831,0.2872654939947951,0.540407001088686,0.0744883800245647,7.871210216000223,7.86330011445161,8.01474460692102,16464,35823,1,1077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1665100126717873,0.3811357996641663,19.05678998320831,0.0053765612492295,0.5352706361834576,0.0744959933590963,7.871210216000223,7.86330011445161,8.325500633589366,16648,35823,2,2077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1615155691854973,0.3811357996641663,19.05678998320831,0.1958323947983523,0.5360522569299053,0.0744481762545346,7.871210216000223,7.86330011445161,8.075778459274865,16620,35823,3,3077,2,energy/building01
